engine_number,block_type,flight_number,flight_type,launch_date,launch_pad,landing_location,turnaround_time,engine_status,total_launches
B0001,1.0,N/A,N/A,N/A,N/A,N/A,0,N/A,1
B0002,1.0,N/A,N/A,N/A,Suborbital,8 test landings achieved[10],0,Retired,1
B0003,1.0,F9-001,F9,2010-06-04,Success (SLC‑40)[12],Failure (parachute),0,Destroyed,1
B0004,1.0,F9-002,F9,2010-12-08,Success (SLC‑40),Failure (parachute),0,Destroyed,1
B0005,1.0,F9-003,F9,2012-05-22,Success (SLC‑40),No attempt,0,Expended,1
B0006,1.0,F9-004,F9,2012-10-08,Partial success (SLC‑40)[15],No attempt,0,Expended,1
B0007,1.0,F9-005,F9,2013-03-01,Success (SLC‑40),No attempt,0,Expended,1
B1001,1.1,N/A,N/A,N/A,N/A,N/A,0,N/A,1
B1002,1.1,N/A,N/A,N/A,Suborbital,4 test landings achieved[10],0,Destroyed,1
B1003,1.1,F9-006,F9,2013-09-29,Success (SLC‑4E),No attempt,0,Expended,1
B1004,1.1,F9-007,F9,2013-12-03,Success (SLC‑40),No attempt,0,Expended,1
B1005,1.1,F9-008,F9,2014-01-06,Success (SLC‑40),No attempt,0,Expended,1
B1006,1.1,F9-009,F9,2014-04-18,Success (SLC‑40),No attempt,0,Expended,1
B1007,1.1,F9-010,F9,2014-07-14,Success (SLC‑40),No attempt,0,Expended,1
B1008,1.1,F9-011,F9,2014-08-05,Success (SLC‑40),No attempt,0,Expended,1
B1009,1.1,N/A,N/A,N/A,N/A,N/A,0,Never completed,1
B1010,1.1,F9-013,F9,2014-09-21,Success (SLC‑40),No attempt,0,Expended,1
B1011,1.1,F9-012,F9,2014-09-07,Success (SLC‑40),No attempt,0,Expended,1
B1012,1.1,F9-014,F9,2015-01-10,Success (SLC‑40),Failure (JRTI),0,Destroyed,1
B1013,1.1,F9-015,F9,2015-02-11,Success (SLC‑40),No attempt,0,Expended,1
B1014,1.1,F9-016,F9,2015-03-02,Success (SLC‑40),No attempt,0,Expended,1
B1015,1.1,F9-017,F9,2015-04-14,Success (SLC‑40),Failure (JRTI),0,Destroyed,1
B1016,1.1,F9-018,F9,2015-04-27,Success (SLC‑40),No attempt,0,Expended,1
B1017,1.1,F9-021,F9,2016-01-17,Success (SLC‑4E),Failure (JRTI),0,Destroyed,1
B1018,1.1,F9-019,F9,2015-06-28,Failure (SLC‑40),Precluded,0,Destroyed,1
B1019,4,F9-020,F9,2015-12-22,Success (SLC‑40),Success (LZ‑1)[24],N/A,Retired,1
B1020,4,F9-022,F9,2016-03-04,Success (SLC‑40),Failure (OCISLY),N/A,Destroyed,1
B1021,4,F9-023,F9,2016-04-08,Success (SLC‑40),Success (OCISLY),N/A,Retired,2
B1021,4,F9-032,F9,2017-03-30,Success (LC‑39A),Success (OCISLY)[32][33],356 days,Retired,2
B1022,4,F9-024,F9,2016-05-06,Success (SLC‑40),Success (OCISLY),N/A,Retired,1
B1023,4,F9-025,F9,2016-05-27,Success (SLC‑40),Success (OCISLY)[35],N/A,Retired,2
B1023,4,FH-001,FH,2018-02-06,Success (LC‑39A),Success (LZ‑1),620 days,Retired,2
B1024,4,F9-026,F9,2016-06-15,Success (SLC‑40),Failure (OCISLY),N/A,Destroyed,1
B1025,4,F9-027,F9,2016-07-18,Success (SLC‑40),Success (LZ‑1),N/A,Retired,2
B1025,4,FH-001,FH,2018-02-06,Success (LC‑39A),Success (LZ‑2),568 days,Retired,2
B1026,4,F9-028,F9,2016-08-14,Success (SLC‑40),Success (OCISLY)[41],N/A,Retired,1
